序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
1,HMSTRUSDT,99.9,25.7,24.1,1.065,,,,0.0000,2025-11-04 20:00,0.000448,2025-11-04,2025-11-04 21:00:00,2025-11-04 21:00:00,,0.000444,-0.85%,2025-11-06,2025-11-06 00:00:00,0.000347,27.0,21.90%,0.3000,,0.2343,0.5343,0.0000,,,328.57,328.03,328.03,328.03,10328.03,是,强（保持30%）,强（30%）,btc_yesterday_yang_flatten_open,-0.9526%,3.0,500.00,否,,,0.000399,-10.15%,17.15%,0.000329,-25.84%,26.70%,0.000348,-21.63%,30.19%,32.01%,30.19%,9.25%,,,,,,,,,
2,ALCHUSDT,43.1,41.2,35.8,1.148,,,,0.0000,2025-11-04 15:00,0.076080,2025-11-04,2025-11-04 16:00:00,2025-11-04 16:00:00,,0.080140,5.34%,2025-11-05,2025-11-05 04:00:00,0.083870,12.0,-4.65%,0.2850,,0.2983,0.5833,-1.2325,3,0.0288%,-66.32,-66.91,-65.68,-65.68,10262.36,是,中（改成20%）,弱（12%）,early_stop_loss_12h,0.3257%,3.0,475.00,否,,,0.080700,0.70%,5.18%,0.083870,4.65%,5.18%,0.085210,,5.18%,5.18%,5.18%,4.62%,,,,,,,,,
3,GPSUSDT,34.7,58.3,53.4,1.092,,,,0.0000,2025-11-04 20:00,0.006910,2025-11-04,2025-11-04 21:00:00,2025-11-04 21:00:00,,0.006743,-2.42%,2025-11-06,2025-11-06 00:00:00,0.006042,27.0,10.40%,0.2707,,0.2426,0.5134,0.0000,,,140.74,140.22,140.22,140.22,10402.58,是,强（保持30%）,强（30%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,451.25,否,,,0.006052,-10.25%,23.57%,0.005903,-12.46%,23.57%,0.006060,-10.13%,23.57%,23.57%,23.57%,5.34%,,,,,,,,,
4,MONUSDT,28.4,21.8,22.9,0.953,,,,0.0000,2025-11-04 21:00,0.052540,2025-11-04,2025-11-04 22:00:00,2025-11-04 22:00:00,,0.054190,3.14%,2025-11-04,2025-11-04 23:00:00,0.063944,1.0,-18.00%,0.2572,,0.3035,0.5607,0.0000,,,-231.49,-232.05,-232.05,-232.05,10170.53,否,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,3.0,428.69,否,,,0.060860,12.31%,8.65%,0.054800,1.13%,8.65%,0.059850,,8.65%,8.65%,8.65%,21.79%,,,,,,,,,
5,PORTALUSDT,26.1,11.6,12.9,0.897,,,,0.0000,2025-11-04 22:00,0.022760,2025-11-04,2025-11-04 23:00:00,2025-11-04 23:00:00,,0.022400,-1.58%,2025-11-06,2025-11-06 00:00:00,0.022310,25.0,0.40%,0.2503,,0.2492,0.4995,0.0000,,,5.03,4.53,4.53,4.53,10175.06,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.1070%,3.0,417.08,否,,,0.021630,-3.44%,4.20%,0.021390,-4.51%,8.30%,0.022410,0.04%,8.30%,8.30%,8.30%,2.77%,,,,,,,,,
6,SAHARAUSDT,24.5,16.5,19.5,0.843,,,,0.0000,2025-11-04 18:00,0.077580,2025-11-04,2025-11-04 19:00:00,2025-11-04 19:00:00,,0.076920,-0.85%,2025-11-06,2025-11-06 00:00:00,0.077150,29.0,-0.30%,0.2377,,0.2384,0.4762,0.0000,,,-3.55,-4.03,-4.03,-4.03,10171.03,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,396.23,否,,,0.078650,2.25%,1.07%,0.076660,-0.34%,1.56%,0.077030,0.14%,1.56%,1.56%,1.56%,2.74%,,,,,,,,,
7,DOGSUSDT,23.2,26.9,25.5,1.054,,,,0.0000,2025-11-04 20:00,0.000047,2025-11-04,2025-11-04 21:00:00,2025-11-04 21:00:00,,0.000046,-2.35%,2025-11-06,2025-11-06 00:00:00,0.000046,27.0,-1.31%,0.2259,,0.2288,0.4547,0.0000,,,-14.79,-15.25,-15.25,-15.25,10155.78,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.0047%,3.0,376.42,否,,,0.000045,-2.40%,5.24%,0.000045,-2.40%,5.68%,0.000046,1.09%,5.68%,5.68%,5.68%,3.28%,,,,,,,,,
8,USUALUSDT,23.1,4.3,4.3,0.997,,,,0.0000,2025-11-04 21:00,0.028480,2025-11-04,2025-11-04 22:00:00,2025-11-04 22:00:00,,0.028870,1.37%,2025-11-05,2025-11-05 04:00:00,0.034067,6.0,-18.00%,0.2146,,0.2532,0.4677,0.0000,,,-193.10,-193.57,-193.57,-193.57,9962.21,否,中（改成20%）,中（保持20%）,stop_loss,0.0000%,3.0,357.60,否,,,0.029200,1.14%,3.50%,0.030040,4.05%,5.65%,0.032830,,5.65%,5.65%,5.65%,1.70%,,,,,,,,,
9,XPINUSDT,18.5,8.9,9.1,0.978,,,,0.0000,2025-11-04 16:00,0.004057,2025-11-04,2025-11-04 17:00:00,2025-11-04 17:00:00,,0.003966,-2.23%,2025-11-06,2025-11-06 00:00:00,0.003709,31.0,6.48%,0.2038,,0.1906,0.3945,0.0000,,,66.04,65.65,65.65,65.65,10027.85,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,339.72,否,,,0.003930,-0.91%,10.46%,0.003576,-9.83%,13.87%,0.003938,-0.71%,17.95%,17.95%,17.95%,5.60%,,,,,,,,,
10,RESOLVUSDT,16.4,4.0,4.8,0.832,,,,0.0000,2025-11-04 22:00,0.046090,2025-11-04,2025-11-04 23:00:00,2025-11-04 23:00:00,,0.045850,-0.52%,2025-11-05,2025-11-05 04:00:00,0.054103,5.0,-18.00%,0.1936,,0.2285,0.4221,0.0000,,,-174.28,-174.70,-174.70,-174.70,9853.16,否,中（改成20%）,中（保持20%）,stop_loss,0.0000%,3.0,322.73,否,,,0.045800,-0.11%,1.42%,0.054090,17.97%,4.67%,0.055810,,4.67%,4.67%,4.67%,4.06%,,,,,,,,,
